trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
601,False,"{'a': 0.3, 'e': 0.39899999999999947}",25,0,-54.72606815243005,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
602,False,"{'a': 0.3, 'e': 0.39799999999999947}",30,9,25.88121444128592,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
603,False,"{'a': 0.3, 'e': 0.39699999999999946}",30,12,-78.70561676081125,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
604,False,"{'a': 0.3, 'e': 0.39599999999999946}",30,12,-28.4625778762937,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
605,False,"{'a': 0.3, 'e': 0.39499999999999946}",25,0,-83.68145879916834,"{0: 18, 1: 4, 2: 0, 3: 2, 4: 1}",0
606,False,"{'a': 0.3, 'e': 0.39399999999999946}",20,13,0.5107601895430305,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
607,False,"{'a': 0.3, 'e': 0.39299999999999946}",25,4,-140.2035674486779,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 4}",1
608,False,"{'a': 0.3, 'e': 0.39199999999999946}",25,10,15.982623449522055,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
609,False,"{'a': 0.3, 'e': 0.39099999999999946}",25,1,-10.740494948089212,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 0}",1
610,False,"{'a': 0.3, 'e': 0.38999999999999946}",20,0,-76.04245651499272,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
611,False,"{'a': 0.3, 'e': 0.38899999999999946}",20,8,8.426499748785005,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
612,False,"{'a': 0.3, 'e': 0.38799999999999946}",25,17,-12.067209090253554,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
613,False,"{'a': 0.3, 'e': 0.38699999999999946}",25,2,-133.58053174504812,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 3}",1
614,False,"{'a': 0.3, 'e': 0.38599999999999945}",25,15,4.4040112003759715,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.3, 'e': 0.38499999999999945}",20,10,17.021536426752338,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.3, 'e': 0.38399999999999945}",20,10,-34.2351713354797,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
617,False,"{'a': 0.3, 'e': 0.38299999999999945}",20,9,-27.757794916231283,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
618,False,"{'a': 0.3, 'e': 0.38199999999999945}",25,0,-11.514196059890715,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
619,False,"{'a': 0.3, 'e': 0.38099999999999945}",20,13,12.086051900794157,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.3, 'e': 0.37999999999999945}",25,0,21.049521915621195,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
621,False,"{'a': 0.3, 'e': 0.37899999999999945}",30,4,-6.306034241546875,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 0}",1
622,False,"{'a': 0.3, 'e': 0.37799999999999945}",25,11,24.478250944583102,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.3, 'e': 0.37699999999999945}",30,18,-6.844339527444768,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
624,False,"{'a': 0.3, 'e': 0.37599999999999945}",25,12,-96.84330396966118,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 2}",1
625,False,"{'a': 0.3, 'e': 0.37499999999999944}",20,0,-21.368232658534684,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
626,False,"{'a': 0.3, 'e': 0.37399999999999944}",20,0,-9.440141961302803,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
