trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.3, 'e': 0.6039255042610637}",20,0,-19.47680957753211,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.3, 'e': 0.6012362679469847}",30,1,-48.09916748760313,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 1}",1
115,False,"{'a': 0.3, 'e': 0.5985590066064777}",20,0,-90.11107643388284,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
116,False,"{'a': 0.3, 'e': 0.595893666915857}",20,10,-35.606467341735396,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.5932401957888831}",30,11,8.12469492701797,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.5905985403757062}",20,0,-65.34326491140283,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
119,False,"{'a': 0.3, 'e': 0.5879686480618128}",30,0,-48.330490407580385,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
120,False,"{'a': 0.3, 'e': 0.5853504664669779}",20,13,-71.51956628505218,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
121,False,"{'a': 0.3, 'e': 0.5827439434442216}",20,10,-3.3280743590273207,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.5801490270787715}",25,16,3.933045392302468,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.5775656656870269}",25,3,-22.701455752839745,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.5749938078155313}",25,12,6.378914532747546,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.5724334022399462}",20,0,-78.68095128193475,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
126,False,"{'a': 0.3, 'e': 0.5698843979640315}",20,1,1.0719116614378696,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.5673467442186294}",25,0,-118.19246612632269,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
128,False,"{'a': 0.3, 'e': 0.5648203904606538}",25,0,-82.47244388122223,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
129,False,"{'a': 0.3, 'e': 0.5623052863720832}",30,11,-11.577825661435412,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.5598013818589584}",30,0,-161.07688762529034,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
131,False,"{'a': 0.3, 'e': 0.5573086270503853}",25,0,-118.0960201241272,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
132,False,"{'a': 0.3, 'e': 0.554826972297541}",25,0,-80.35006758830465,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
133,False,"{'a': 0.3, 'e': 0.5523563681726851}",20,0,-9.108505911137513,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
134,False,"{'a': 0.3, 'e': 0.5498967654681756}",25,0,-8.169269463544502,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
135,False,"{'a': 0.3, 'e': 0.5474481151954883}",25,3,-89.25506588187403,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
136,False,"{'a': 0.3, 'e': 0.5450103685842417}",20,0,4.656543996409514,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
137,False,"{'a': 0.3, 'e': 0.5425834770812249}",25,11,-68.04275416170984,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
138,False,"{'a': 0.3, 'e': 0.540167392349431}",20,0,-118.50882866740676,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
139,False,"{'a': 0.3, 'e': 0.5377620662670943}",30,0,-39.894650610672876,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.3, 'e': 0.535367450926732}",20,16,6.58340059266897,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.5329834986341895}",25,0,-93.91641953962059,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
142,False,"{'a': 0.3, 'e': 0.530610161907691}",25,4,-20.350977798511526,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.5282473934768934}",20,0,1.80814475058489,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.3, 'e': 0.5258951462819453}",25,0,-86.88989303809502,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
145,False,"{'a': 0.3, 'e': 0.5235533734725495}",25,13,-0.7653677124826874,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
